8G	language_code	zh_CN	zh_TW	en_US	ko_KR	vi_VN	th_TH	in_ID	ja_JP	ru_RU	pt_PT	es_ES	ar_IL	tr_TR	fr_FR	de_DE	it_IT	fa_IR	ms_MY	uk_UA
Label	path_more	该目录的磁盘可用空间较少，可能会影响安装游戏与下载资源，建议选择空间更大的%s盘。需要更改吗？	該目錄的磁碟可用空間較少，可能會影響安裝遊戲與下載資源，建議選擇空間更大的本機磁碟(%s)。需要變更嗎？	There is not enough space available on this disk for installation, it's recommended to use Disk %s, do you want to change the path?	하드디스크 용량이 부족하여 게임 설치 및 리소스 다운로드에 문제가 발생할 수 있습니다. 디스크 용량이 충분한 %s 드라이브에 설치하시겠습니까?	Dung lượng ổ này đang quá ít, có thể sẽ dẫn tới lỗi tải tài nguyên game và tải file về LDPlayer. Đề nghị chọn ổ %s đang có dung lượng rộng hơn. Xác nhận chỉnh?	ดิสก์ที่เลือกมีจำหนวนที่ว่างไม่เยอะ ซึ่งอาจส่งผลต่อการติดตั้งเกมและการดาวน์โหลดทรัพยากร ขอแนะนำให้เลือกดิสก์ %s ที่มีพื้นที่ขนาดใหญ่กว่า จะต้องการเปลี่ยนหรือไม่？	Ruang disk dalam direktori ini terbatas, yang mungkin mempengaruhi instalasi game dan unduhan sumber daya. Disarankan untuk memilih disk %s yang memiliki ruang lebih besar. Apakah Anda ingin mengubahnya?	ディレクトリのディスク空き容量が少ないため、ゲームのインストールやリソースのダウンロードに影響を与える可能性があります。より大きな%sドライブを選択することをお勧めします。変更しますか？	В этом каталоге меньше свободного места на диске, что может повлиять на установку игр и загрузку ресурсов. Рекомендуется выбрать диск %s с большим объемом. Хотите изменить?	O espaço livre em disco deste diretório é pequeno, o que pode afetar a instalação de jogos e o download de recursos. Recomenda-se escolher um disco com mais espaço, como o disco %s. Deseja alterar?	Espacio disponible insuficiente, lo que puede afectar la instalación de juegos y la descarga de recursos. Se recomienda seleccionar un disco con más espacio, como Disco %s.  ¿Quieres cambiar?	يحتوي القرص الذي يوقع به هذا الدليل على مساحة خالية أقل، مما قد يؤثر على تثبيت الألعاب وتنزيل الموارد. يوصى باختيار قرص %s بمساحة أكبر. هل تريد التغيير؟	Bu dizindeki disk alanı kısıtlı, oyun kurulumunu ve kaynak indirmeyi etkileyebilir, daha büyük bir %s disk seçmeniz önerilir. Değiştirmek istiyor musunuz?	L'espace disque disponible dans ce répertoire est limité, ce qui peut affecter l'installation des jeux et le téléchargement des ressources. Il est recommandé de choisir un disque %s avec un espace plus important. Souhaitez-vous apporter des modifications ?	Der verfügbare Festplattenspeicher in diesem Verzeichnis ist begrenzt und kann die Installation von Spielen und den Download von Ressourcen beeinträchtigen. Es wird empfohlen, ein Laufwerk mit mehr Platz, z.B. %s, auszuwählen. Möchten Sie das ändern?	Lo spazio disponibile sul disco in questa directory è limitato e potrebbe influenzare l'installazione dei giochi e il download delle risorse. Si consiglia di selezionare un disco più grande, ad esempio %s. Desideri apportare modifiche?	فضای دیسک در این دایرکتوری محدود است و ممکن است بر روی نصب بازی و دانلود منابع تأثیر بگذارد. توصیه می‌شود یک درایو با فضای بیشتر، مانند %s، را انتخاب کنید. آیا می‌خواهید تغییر دهید؟	Ruangan cakera yang terdapat dalam direktori ini adalah terhad dan boleh memberi kesan kepada pemasangan permainan dan muat turun sumber. Disarankan untuk memilih cakera %s yang lebih besar. Adakah anda ingin menukar?	Вільного простору на диску в цьому каталозі досить мало, що може вплинути на установку ігор та завантаження ресурсів. Рекомендується вибрати диск %s з більшим простором. Хочете змінити?
Label	path_ssd	该目录位于机械硬盘 (%s盘)，可能会导致游戏卡顿，建议选择更流畅、稳定的固态硬盘 (%s盘) 。需要更改吗？	該目錄位於機械硬碟本機磁碟(%s)，可能會導致遊戲卡頓，建議選擇更順暢穩定的固態硬碟本機磁碟 (%s) 。需要變更嗎？	HDD (Disk %s) may lead to game stuttering, please choose SSD (Disk %s) for better performance, do you want to change the path?	HDD(%s 드라이브)에 설치하면 렉걸림, 속도 느려짐 현상이 발생할 수 있습니다. SSD(%s 드라이브)에 설치하시겠습니까?	Thư mục này đang nằm ở ổ HDD (ổ %s) tốc độ chậm, có thể sẽ dẫn đến việc chạy game bị giật lag. Đề nghị chọn ổ SSD (ổ %s) để ổn định và nhanh hơn. Xác nhận tùy chỉnh?	ไดเร็กทอรีนี้อยู่บนฮาร์ดไดรฟ์ (ไดรฟ์ %s) ซึ่งอาจทำให้เกมค้างได้ ขอแนะนำให้เลือก SSD (ไดรฟ์ %s) ที่ราบรื่นและเสถียรยิ่งขึ้น จะต้องการเปลี่ยนหรือไม่？	Direktori ini berada di hard disk mekanis (%s), yang mungkin menyebabkan lag dalam permainan. Disarankan untuk memilih solid-state drive (%s) yang lebih lancar dan stabil. Apakah Anda ingin mengubahnya?	このディスクは機械式ハードディスク（ディスク%s）にあり、ゲームの遅延の原因となる可能性があります。よりスムーズで安定したSSD（%sディスク）を選択することをお勧めします。変更しますか？	Этот каталог расположен на жестком диске (диск %s), что может привести к зависанию игры. Рекомендуется выбрать более плавный и стабильный твердотельный накопитель (диск %s). Хотите изменить?	Este diretório está localizado em um disco rígido mecânico (disco %s), o que pode causar atrasos no jogo. Recomenda-se escolher um disco de estado sólido mais fluido e estável (disco %s). Deseja alterar?	Este directorio está en un disco duro mecánico (Dicso %s), lo que puede causar ralentizaciones en los juegos. Se recomienda seleccionar un disco duro de estado sólido más fluido y estable (Disco%s). ¿Quieres cambiar?	يوقع هذا الدليل على محرك الأقراص الثابتة (محرك الأقراص %s)، مما قد يتسبب في عالق اللعبة. من المستحسن اختيار محرك أقراص الحالة الصلبة أكثر سلاسة واستقرارًا (محرك الأقراص %s). هل تريد التغيير؟	Bu dizin, mekanik bir hard diskte (%s disk) bulunuyor, bu da oyunlarda takılmaya neden olabilir. Daha akıcı ve stabil bir SSD'yi (%s disk) seçmeniz önerilir. Değiştirmek istiyor musunuz?	Ce répertoire est situé sur un disque dur mécanique (%s), ce qui peut entraîner des ralentissements dans les jeux. Il est recommandé de choisir un disque SSD (%s) plus fluide et stable. Souhaitez-vous apporter des modifications ?	Dieses Verzeichnis befindet sich auf einer mechanischen Festplatte (%s), was zu Verzögerungen in Spielen führen kann. Es wird empfohlen, eine flüssigere und stabilere SSD (%s) zu wählen. Möchten Sie das ändern?	Questa directory è situata su un disco rigido meccanico (%s), il che potrebbe causare rallentamenti nei giochi. Si consiglia di optare per un disco a stato solido (%s) più fluido e stabile. Desideri apportare modifiche?	این دایرکتوری بر روی یک هارد دیسک مکانیکی (%s) قرار دارد که ممکن است در بازی‌ها باعث کندی شود. توصیه می‌شود که یک هارد دیسک حالت جامد (SSD) (%s) با سرعت و پایداری بیشتر را انتخاب کنید. آیا می‌خواهید تغییر دهید؟	Direktori ini terletak pada cakera keras mekanikal (%s), yang mungkin menyebabkan permainan tergantung. Disarankan untuk memilih cakera keras padat (%s) yang lebih lancar dan stabil. Adakah anda ingin menukar?	Цей каталог розташований на механічному жорсткому диску (%s), що може призвести до зависання гри. Рекомендується вибрати більш швидкий і стабільний твердотільний диск (SSD) (%s). Хочете змінити?
Label	path_ok	好的	好的	Yes	확인	Yes	เปลี่ยน	Baiklah	変更する	OK	Ok	Okey	حسنًا	Tamam	D'accord	Ja	Sì	بله	Okey	Так
Label	path_not	不，谢谢	不，謝謝	No, thanks	취소	No	ไม่ ขอบคุณ	Tidak, terima kasih	キャンセル	Нет	Não, obrigado	No, gracias	لا، شكرا	Hayır	Non	Nein	No	نه	Tidak	Ні
Label	MsgBox_accept_protocol	必须接受协议才能安装！	必須接受協議才能安裝！	Please accept protocol	LDPlayer를 설치하기 위해서는 반드시 이용약관에 동의하셔야 합니다	Xin vui lòng chọn [Thoả Thuận] trước!	ต้องยอมรับข้อตกลงจึงสามารถติดตั้งได้	Harap terima protokol	ソフトウェア利用許諾契約を同意する必要があります	Приняйте соглашение, чтобы установить	É preciso aceitar acordo！	¡Debes aceptar el acuerdo antes de instalar!	الرجاء قبول الاتفاقية	Lütfen protokolü kabul edin	Veuillez accepter le protocole	Vor der Installation musst du die Vereinbarung akzeptieren!	Devi accettare l'accordo per poter installare!	لطفا پروتکل را بپذیرید	Anda perlu menerima perjanjian untuk memasang!	Необхідно прийняти угоду для встановлення!
Label	MsgBox_error_path	文件路径无效！请重新输入。	文檔路徑無效！請重新輸入。	Error file path	올바르지 않은 경로입니다. 다시 확인해 주십시오	Đường dẫn này không hợp lệ, vui lòng chọn lại	เส้นทางไฟล์ไม่ถูกต้อง กรุณาป้อนใหม่	Jalur file kesalahan	ファイルパスのエラー	Неверный путь к файлу! Пожалуйста, введите заново.	Caminho inválido de arquivos！Dogote novamente	Ruta de archivo no válida, intenta nuevamente	مسار الملف غير صالح! الرجاء إدخال مرة أخرى	Hata dosya yolu	Erreur du chemin du fichier	Dateipfad ist ungültig. Bitte neu eingeben.	Percorso del file non valido! Per favore, inseriscilo nuovamente.	مسیر پرونده خطا	Laluan fail tidak sah! Sila masukkan semula.	Невірний шлях до файлу! Будь ласка, введіть знову.
Label	MsgBox_disk_notEnough	磁盘空间不足！请保证磁盘空间在6G以上。	磁碟空間不足！請更換路徑或清理空間。	Disk space not enough	하드디스크의 용량이 부족합니다. 다른 드라이브에 설치하시거나 8기가 이상의 용량을 확보해 주세요	Dung lượng ổ này không đủ rộng để chạy bình thường LDPlayer!	พื้นที่ของดิสก์ไม่เพียงพอ โปรดเปลี่ยนเส้นทางหรือล้างพื้นที่	Ruang disk tidak cukup	ディスク容量が不足しています	Недостаточно места на диске! Пожалуйста, измените путь или очистите пространство.	Espaço insuficiente de disco！Mude caminho ou limpe espaço.	Espacio en disco insuficiente	مساحة القرص غير كافية	Disk alanı yetersiz	Espace disque insuffisant	Der Speicherplatz, der dem Emulator zur Verfügung steht, reicht nicht aus. Bitte lösche den Speicher oder wechsle den Pfad.	Spazio su disco insufficiente! Cambia percorso o libera spazio.	فضای دیسک کافی نیست	Ruang cakera tidak mencukupi! Sila tukar laluan atau bersihkan ruang.	Недостатньо місця на диску! Змініть шлях або очистіть простір.
Label	Label_choice_path	请选择安装路径	請選擇安裝路徑	Please select file path	설치 경로를 지정해 주십시오	Vui lòng chọn đường dẫn cài đặt	โปรดเลือกเส้นทางการติดตั้ง	Pilih jalur file	パスを選択する	Пожалуйста, выберите путь	Selecione caminho de instalação	Elegir ruta de instalación	الرجاء تحديد مسار التثبيت	Lütfen dosya yolunu seçin	Veuillez sélectionner le chemin du fichier	Wähle den Installationspfad aus	Seleziona il percorso di installazione	لطفا مسیر پرونده را انتخاب کنید	Sila pilih laluan pemasangan	Будь ласка, виберіть шлях встановлення
Label	MSGBox_noice	提示	提示	Prompt	알림	Lời nhắc	การแจ้งเตือน	Prompt	お知らせ	Подсказка	Dicas 	Aviso	توجيه	Operasyon ipuçları	Notification	Hinweis	Prompt dell'operazione	سریع	Petunjuk operasi	Підказки з операції
Label	MsgBox_exit	是否停止安装模拟器？	確定要取消安裝模擬器？	Do you want to stop the installation?	LDPlayer 설치를 취소하시겠습니까?	Hủy cài đặt LDPlayer?	แน่ใจหรือที่จะหยุดการติดตั้งโปรเเกรม？	Apakah Anda ingin menghentikan penginstalan?	インストールを中止しますか？	Вы уверены, что прекратить установку?	Quer parar a instalação de emulador?	¿Deseas cancelar la descarga del emulador?	هل تريد إيقاف التثبيت؟	Kurulumu durdurmak istiyor musunuz?	Voulez-vous arrêter l'installation?	Bist du sicher, die Installation des Emulators zu stoppen?	Vuoi interrompere l'installazione del simulatore?	آیا می خواهید نصب را متوقف کنید؟	Adakah anda ingin menghentikan pemasangan simulator?	Чи бажаєте зупинити встановлення симулятора?
Label	sure	确定	確定	Sure	확인	Xác nhận	ยืนยัน	Konfirmasi	確認	ОК	Comfirmar	Confirmar	تأكيد	Evet	Confirmer	Besätigen	Conferma	مطمئن	Pasti	Так
Label	cancel	取消	取消	Cancel	취소	Không	ยกเลิก	Batalkan	キャンセル	Отмена	Cancelar	Cancelar	إلغاء	İptal	Annuler	Abbrechen	Annulla	لغو	Batal	Скасувати
Label	browser	选择路径	瀏覽	Browse...	찾아보기...	Chọn	ดู	Browse...	パスの選択	Обзор	Browse	Elegir ruta	تصفح ...	Araştır...	Explorez	Bitte wähle den Pfad	Seleziona percorso	مرور کردن...	Pilih laluan	Виберіть шлях
Label	Label_path_error	请选择正确的安装路径	請選擇正確的安裝路徑	File path error!	설치 경로가 올바르지 않습니다	Vui lòng chọn đường dẫn chính xác	โปรดเลือกเส้นทางการติดตั้งที่ถูกต้อง	Pilih jalur instalasi yang benar	ファイルパスエラー！	Пожалуйста, выберите правильный путь	Selecione o caminho correto de instalação	Elijas la ruta correta de instalación	الرجاء تحديد مسار التثبيت الصالح	Dosya yolu hatası!	Erreur du chemin du fichier	Bitte wähle den richtigen Pfad	Per favore, seleziona il percorso di installazione corretto.	خطای مسیر پرونده!	Sila pilih laluan pemasangan yang betul.	Будь ласка, виберіть правильний шлях встановлення.
Label	Button_install_define	自定义安装	自訂安裝	Setup path	사용자 정의	Tùy chỉnh	การติดตั้งที่กำหนดเอง	Setup jalur	カスタム	Выборочная установка	Instalação personalizada	Instalación personalizada	تخصيص التثبيت	Kurulum yolu	Configurer le chemin	Benutzerdefinierte Installation	Installazione personalizzata	مسیر راه اندازی	Pemasangan kustom	Призначена установка
Label	Button_install_back	返回	返回	Back	뒤로	Quay lại	กลับ	Kembali	戻る	Назад	Volte à instalação rápida	Volver a la instalación rápida	رجوع	Geri	Retour	Zurück zur Schnellinstallation	Indietro	بازگشت	Kembali	Назад
Label	protocol_accept	已阅读并同意雷电模拟器	已閱讀並同意雷電模擬器	Read and agree to LDPlayer	라이선스를 읽었으며 동의하기 >  	Đã đọc và đồng ý với >	ได้อ่านและยอมรับโปรเเกรม LDPlayer	Baca dan setujui LDPlayer	LDPlayer	Прочитали и согласены с	Li e aceito LDPlayer	Leer y aceptar LDPlayer	قد قرأت ووافقت علىLDPlayer	LDPlayer'ı okuyun ve kabul edin	Lu et approuvé	Lesen und akzeptieren	Ho letto e accetto il LDPlayer	LDPlayer را بخوانید و با آن موافقت کنید	Saya telah membaca dan bersetuju dengan LDPlayer	Я прочитав і згоден з умовами використання симулятора LDPlayer
Label	install_protocol_read	已阅读并同意	已閱讀並同意	I've read and agree to		Đã đọc và đồng ý với 	ได้อ่านและเห็นด้วย	I've read and agree to	同意のご確認	I've read and agree to	Eu li e concordo com	He leído y acepto	لقد قرأت ووافقت على	I've read and agree to	J'ai lu et j'accepte	Gelesen und akzeptiert	I've read and agree to	I've read and agree to	I've read and agree to	I've read and agree to
Label	protocol_accept_btn	许可协议	許可協議	Licensing Protocol	전문 보기	[Thỏa Thuận Cấp Phép]	ข้อตกลงการใช้	Protokol Lisensi	利用許諾契約を読み、同意する	Поль. соглашение	Contrato de licença	Protocolo de Licencias	اتفاقية الترخيص	Lisans Protokolü	Protocole de Licence	Lizenzprotokoll	Accordo di licenza	پروتکل اراضی	Perjanjian Lesen	Ліцензійна угода
Label	progress_downloading_label	正在下载	正在下載	Downloading	다운로드 중	Đang tải	กำลังดาวน์โหลด	Mendownload	ダウンロード中	Загрузка	Baixando	Descargando	جار التنزيل	İndiriliyor	Téléchargement	Downloading	Download in corso	در حال بارگیری	Sedang dimuat turun	Завантаження в процесі
Label	progress_downloading_label2	正在下载	正在下載	Downloading	다운로드 중	Đang tải	กำลังดาวน์โหลด	Mendownload	ダウンロード中	Загрузка	Baixando	Descargando	جار التنزيل	İndiriliyor	Téléchargement	Downloading	Scaricando	در حال بارگیری	Sedang dimuat turun	Завантаження
Label	progress_download_label	下载	下載	Download	다운로드	Tải	ดาวน์โหลด	Download	ダウンロード中	Загрузить	Baixar	Descargar	تنزيل	İndir	Télécharger	Herunterladen	Download	در حال بارگیری	Muat turun	Завантажити
Label	progress_install_label	安装	安裝	Install	설치	Cài đặt	ติดตั้ง	Install	インストール中	Установить	Instalar	Instalar	تثبيت	Düzenle	Installer	Intallieren	Installazione	نصب	Pasang	Встановити
Label	progress_finish_label	完成	完成	Complete	완료	Hoàn tất	เสร็จสิ้น	Selesai	完了	Завершено	Concluído	Terminado	اكتمل	Tamamla	Fini	Abgeschlossen	Completato	انجام داده	Selesai	Завершено
Label	Label_installingapp_waiting	正在安装	正在安裝	Installing	설치 중...	Đang cài đặt	กำลังติดตั้ง	Menginstal	インストール中	Установка	Instalando	Descargando	جار التثبيت	Düzenliyor	En cours d'installer	Installieren...	Installazione in corso	در حال نصب	Sedang dipasang	Установка в процесі
Label	homepage	官网：	官網：	Home page:	홈페이지: 	Website	เว็บไซต์:	Situs resmi:	公式サイト：	Официальный сайт:	Site Oficial：	Web oficial：	الصفحة الرئيسية:	Ana sayfa:	Site officiel：	Offizielle Website:	Sito ufficiale:	صفحه نخست:	Laman web rasmi:	Офіційний сайт:
Label	error	错误	錯誤	Error	에러	Lỗi!	ผิดพลาด	kesalahan	エラー	Ошибка	Erro	Error	حدث خطأ	Hata	Erreur	Fehler	Errore	خطا	Ralat	Помилка
Label	download_error_content	点击下方按钮前往官网下载安装包	下載失敗，請嘗試到官網重新下載。	Download error, please re-download from homepage.	다운로드에 실패했습니다. 설치 파일에 문제가 있을 수 있습니다. 설치 파일을 다시 다운로드해 주세요	Cài đặt không thành công, hãy tải lại file cài đặt [.exe] trên website chính thức LDPlayer	ดาวน์โหลดล้มเหลว กรุณาลองดาวน์โหลดใหม่ที่โฮมเพจ	Download gagal, coba download lagi dari situs resminya.	アイコンをクリックして公式サイトからインストールパッケージをダウンロードしてください	Загрузка не удалась. Пожалуйста, попробуйте загрузить ее снова на официальном сайте.	Erro de download, vai ao site oficial a baixar novamente	Error al descargar, intentes descargar en el sitio web oficial.	خطأ، الرجاء النقر فوق الأيقونة التالية للانتقال إلى الموقع الرسمي لإعادة التنزيل	İndirme hatası, lütfen ana sayfadan tekrar indirin.	Échec du téléchargement, veuillez télécharger à nouveau à partir du site officiel.	Herunterladen fehlgeschlagen. Bitte herunterlade auf die offizielle Website neu	Fai clic sul pulsante sottostante per scaricare il pacchetto di installazione dal sito ufficiale	خطا در بارگیری، لطفاً دوباره از صفحه اصلی بارگیری کنید.	Klik butang di bawah untuk pergi ke laman web rasmi dan muat turun pakej pemasangan	Натисніть кнопку нижче, щоб перейти на офіційний сайт і завантажити пакет встановлення
Label	go_homePage	重新下载	重新下載	Re-download	다운 받기	Tải lại	ดาวน์โหลดใหม่	Unduh ulang	再ダウンロード	Повторная загрузка	Baixar novamente	Descargar nuevamente	إعادة التنزيل	Tekrar indir	Télécharger à nouveau	Neu Herunterladen	Riscarica	بارگیری مجدد	Muat turun semula	Перезавантажити
Label	installing_exit_tip	请等待安装完成	請等待安裝完成。	Please wait for the installation to end.	설치하는 동안 잠시 기다려 주세요	Hãy chờ hoàn tất cài đặt	กรุณารอการติดตั้งเสร็จสิ้น	Harap tunggu hingga penginstalan selesai.	インストールが完了するまでお待ちください	Пожалуйста, дождитесь завершения установки	Aguarde a instalação terminar.	Espera a que se complete la instalación	برجاء انتظار انتهاء التثبيت.	Lütfen kurulumun bitmesini bekleyin.	Veuillez attendre la termination d'installation.	Bitte warte auf den Abschluss von Herunterladen	Attendi il completamento dell'installazione	لطفا منتظر بمانید تا نصب به پایان برسد.	Sila tunggu sehingga pemasangan selesai	Будь ласка, зачекайте, поки встановлення завершиться
Label	Reject	拒绝	拒絕	Reject	거부	NO	ปฏิเสธ	Menolak	キャンセル	Отказываться	Rejeitar	Rechazar	رفض	Reddet	Rejeter	Ablehnen	Rifiuta	رد کردن	Tolak	Відхилити
Label	Accept	接受	接受	Accept	확인	OK	ยอมรับ	Menerima	確認	Принять	Aceitar	Aceptar	قبول	Kabul et	Accepter	Akzeptieren	Accetta	تایید کنید	Terima	Прийняти
Label	Yes	是	是	Yes	확인	Yes	ใช่	Ya	はい	Да	Sim	Sí	نعم	Evet	Oui	Ja	Sì	بله	Ya	Так
Label	No	否	否	No	취소	No	ไม่	Tidak	いいえ	Нет	Não	No	لا	Hayır	Non	Nein	No	نه	Tidak	Ні
Label	accept_protocol	确认接受	確認接受	Accept	동의	Chấp nhận	ยอมรับ	Menerima	承諾する	Принять	Aceitar	Aceptar	قبول	Kabul et	Accepter	Akzeptieren	Conferma l'accettazione	تایید کنید	Sahkan penerimaan	Підтвердити прийняття
Label	titlename	雷电模拟器	雷電模擬器	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	LDPlayer	Simulatore di Thunder and Lightning	LDPlayer	Simulator Petir	Симулятор Thunder and Lightning
Label	installSucess	安装完成	安裝完成	Install Complete	LDPlayer 설치가 완료되었습니다	Đã cài đặt 100%	การติดตั้งเสร็จสมบูรณ์	Instal Selesai	インストール完了	Установка завершена	Instalado	Instalado con éxito	اكتمل التثبيت	Yükleme Tamamlandı	Installation terminée	Installation abgeschlossen	Installazione completata	نصب کامل	Pemasangan selesai	Установка завершена
Label	googleDriver_downloadingPage	点击下方按钮前往官网下载安装包	前往官網主頁下載完整安裝檔	Download the offline installation package from the official website homepage	홈페이지에서 설치 파일을 다시 다운 받아 주십시오	Truy cập website chính thức LDPlayer để tải	ไปเว็บทางการเพื่อดาวน์โหลดไฟล์การติดตั้งแบบออฟไลน์	Kunjungi situs resminya untuk mengunduh paket instalasi	ボタンをクリックして、公式サイトからインストールパッケージをダウンロードしてください	Перейти на официальный сайт, чтобы загрузить установочный пакет	Baixar pacote de instalação de Site oficial	Vayas al sitio web oficial para descargar el paquete de instalación	الرجاء النقر فوق الأيقونة التالية للانتقال إلى الموقع الرسمي لتنزيل حزمة التثبيت	Resmi web sitesi ana sayfasından çevrimdışı kurulum paketini indirin	Accéder au site officiel pour télécharger le package d'installation	Gehen Sie auf die offizielle Website, um das Installationspaket herunterzuladen	Fai clic sul pulsante sottostante per scaricare il pacchetto di installazione dal sito ufficiale	بسته نصب آفلاین را از صفحه اصلی وب سایت بارگیری کنید	Klik butang di bawah untuk pergi ke laman web rasmi dan muat turun pakej pemasangan	Натисніть кнопку нижче, щоб перейти на офіційний сайт і завантажити пакет встановлення
Label	googleDriver_downloadLow	下载异常？前往官网下载安装包	下載異常？從官網主頁下載安裝檔	The download went wrong? Go to the official website homepage to download the offline installation package	설치에 문제가 발생했다면, 번거로우시겠지만 설치 파일을 다시 다운로드해 주세요	Lỗi tải? Truy cập website chính thức để tải file cài đặt	ดาวน์โหลดผิดปกติ？ไปเว็บทางการเพื่อดาวน์โหลดไฟล์การติดตั้งแบบออฟไลน์	Download tidak normal? Kunjungi situs resminya untuk mengunduh paket instalasi	ダウンロードがエラー？ 公式サイトからインストールパッケージをダウンロードする	Ошибка при загрузке? Перейти на официальный сайт, чтобы загрузить установочный пакет	Erro de download, Baixar pacote de instalação de Site oficial	¿Error al descargar? Vayas al sitio web oficial para descargar el paquete de instalación	خطأ في التنزيل ؟ الرجاء النقر فوق الأيقونة التالية للانتقال إلى الموقع الرسمي لتنزيل حزمة التثبيت	İndirme yanlış mı? Çevrimdışı kurulum paketini indirmek için resmi web sitesi ana sayfasına gidin	Téléchargement anormal? Accéder au site officiel pour télécharger le package d'installation	Ungewöhniche Installation? Bitte herunterlade auf die offizielle Website neu	Problemi durante il download? Vai al sito ufficiale per scaricare il pacchetto di installazione	بارگیری اشتباه شد؟ برای بارگیری بسته نصب آفلاین به صفحه اصلی وب سایت بروید	Muat turun terganggu? Pergi ke laman web rasmi untuk muat turun pakej pemasangan	Проблеми зі завантаженням? Перейдіть на офіційний сайт для завантаження пакету встановлення
Label	googleDriver_downloadError	点击下方按钮前往官网下载安装包	前往官網主頁下載安裝檔	Go to the official website homepage to download the offline installation package	아래 버튼을 눌러 설치 파일을 다시 다운 받아주세요	Truy cập website chính thức để tải	ไป Google Drive เพื่อดาวน์โหลดไฟล์การติดตั้งแบบออฟไลน์	Kunjungi situs resminya untuk mengunduh paket instalasi	ボタンをクリックして、公式サイトからインストーラーをダウンロードしてください	Перейти на официальный сайт, чтобы загрузить установочный пакет	Baixar pacote de instalação de Site oficial	Vayas al sitio web oficial para descargar el paquete de instalación	الرجاء النقر فوق الأيقونة التالية للانتقال إلى الموقع الرسمي لتنزيل حزمة التثبيت	Çevrimdışı kurulum paketini indirmek için resmi web sitesi ana sayfasına gidin	Accéder au site officiel pour télécharger le package d'installation	Gehen Sie auf die offizielle Website, um das Installationspaket herunterzuladen	Fai clic sul pulsante sottostante per scaricare il pacchetto di installazione dal sito ufficiale	برای بارگیری بسته نصب آفلاین به صفحه اصلی وب سایت بروید	Klik butang di bawah untuk pergi ke laman web rasmi dan muat turun pakej pemasangan	Натисніть кнопку нижче, щоб перейти на офіційний сайт і завантажити пакет встановлення
Label	install_error_tip	模拟器安装失败	抱歉，安裝失敗	Sorry, the installation failed	설치에 실패하였습니다	Cài đặt LDPlayer không thành công	ขออภัย การติดตั้งล้มเหลว	Maaf, penginstalan gagal	インストールに失敗しました	Извините за то, что не удалось установить	Desculpe, não instalou com sucesso	Lo sentimos, la instalación falló	عذرًا، فشل التثبيت	Üzgünüz, kurulum başarısız oldu	Désolé, l'installation a échoué	Entschuldigung. Installation fehlgeschlagen	Installazione del simulatore fallita	ببخشید. نصب انجام نشد	Pemasangan simulator gagal	Помилка встановлення симулятора
Label	download_error_tip	模拟器下载失败	抱歉，下載失敗	Sorry, the download failed	다운로드에 설패하였습니다	Tải LDPlayer không thành công	ขออภัย ดาวน์โหลดล้มเหลว	Maaf, unduhan gagal	ダウンロードに失敗しました	Извините за то, что не удалось загрузить	Descuple, não baixou com sucesso	Lo sentimos, la descarga falló	معذرة، فشل التنزيل	Üzgünüz, indirme başarısız oldu	Désolé, le téléchargement a échoué	Entschuldigung. Herunterladen fehlgeschlagen	Download del simulatore fallito	ببخشید ،بارگیری انجام نشد	Muat turun simulator gagal	Помилка завантаження симулятора
Label	reDownload	重新下载	重新下載	Download again	다운 받기	Tải lại	ดาวน์โหลดใหม่	Unduh ulang	再ダウンロード	загрузка	Baixar novamente	Descargar nuevamente	إعادة التنزيل	Tekrar indir	Télécharger à nouveau	Neu Herunterladen	Riscarica	دوباره بارگیری کنید	Muat turun semula	Перезавантажити
Label	download_error_tip2	模拟器内核下载失败，请使用浏览器下载	模擬器內核下載失敗，請使用瀏覽器下載	Failed to download simulator kernel, please use browser to try	커널 다운로드에 실패하였습니다. 브라우저로 다시 다운 받아 주세요	Tải core giả lập không thành công, vui lòng sử dụng trình duyệt web để tải lại LDPlayer thử	เคอร์เนลโปรแกรมจำลองดาวน์โหลดล้มเหลว โปรดดาวน์โหลดด้วยเบราว์เซอร์	Gagal mengunduh kernel emulator, gunakan browser untuk mencoba	カーネルのダウンロードに失敗しました	Не удалось загрузить ядро ​​эмулятора, используйте браузер для загрузки.	Falha ao baixar o kernel do emulador, tente no navegador.	No se puede descargar el kernel del emulador, use el navegador para probar	فشل تنزيل نواة المحاكي، يرجى استخدام المتصفح للمحاولة	Simülatör çekirdeği indirilemedi, denemek için lütfen tarayıcıyı kullanın	Impossible de télécharger le noyau LDPlayer. Basculez vers le navigateur.	Download des Emulator-Kernels ist fehlgeschlagen. Bitte verwende einen Browser für Download.	Download del kernel del simulatore fallito, utilizza il browser per scaricare	هسته شبیه ساز بارگیری نشد ، لطفاً برای امتحان کردن از مرورگر استفاده کنید	Muat turun teras simulator gagal, sila gunakan pelayar untuk muat turun	Помилка завантаження ядра симулятора, будь ласка, використовуйте браузер для завантаження
